,Unnamed: 0,m/z,gfap_positive_Y1,gfap_positive_Y2,gfap_positive_Y3,gfap_positive_Y4,gfap_positive_Y5,gfap_positive_Y6,gfap_positive_Y7,gfap_positive_Y8,gfap_positive_Y9,gfap_positive_Y10,gfap_negative_Y1,gfap_negative_Y2,gfap_negative_Y3,gfap_negative_Y4,gfap_negative_Y5,gfap_negative_Y6,gfap_negative_Y7,gfap_negative_Y8,gfap_negative_Y9,gfap_negative_Y10,ranksums_test_statistics,ranksums_p-value
0,0,50.7,0.0006364611497188267,0.0005991682849952718,9.973671807757787e-20,0.0021506891371500746,-3.695765814270866e-19,-1.4738167103377778e-19,-4.5973607534157636e-17,-2.1201177935222394e-18,0.003639854992617467,0.0014186554407353766,-3.809232046766595e-19,0.0006006358484937939,0.0024755207607166075,-1.0707557617919071e-17,0.0016592221588004085,0.0006085665959047872,0.002964098506817038,0.0006954208462859915,-1.4520481496358615e-18,0.0013014384462565348,-0.7181324987175317,0.47267559351158717
1,1,51.0,-2.98614248577231e-19,-4.492598955572893e-19,0.004762532085144832,0.0007458857769677478,0.0001801067122167199,0.00018129457136877185,0.01854725163822316,0.001870060363836409,-4.164155723865423e-18,0.003911215634190138,0.0007879026644106655,0.0020806461997801163,-6.247828303971606e-18,-1.9192610007428497e-18,0.0010521808315828824,0.0006367090464251106,-2.6278248054175108e-18,0.00022960429239328057,0.0015305591237970953,-1.0311685195433927e-18,0.680336051416609,0.49629170223109287
2,2,51.3,0.000698816852679872,0.001904081642980729,0.010182495379714045,-0.0,0.0003346987266614603,0.0008588951798362782,0.006484246557634994,0.0006400330177252207,-1.7297508021365531e-18,0.0014756890339079384,-4.182582191135504e-19,0.004007507799705236,0.000840330483639075,-0.0,-1.3421332337783794e-17,-2.5744160535429975e-17,0.00028321998697896007,0.0010115667992429186,0.0006427037633056353,-1.5257731041878225e-18,1.511857892036909,0.1305700181157362
3,3,51.6,-1.3498022407900555e-18,0.004048874042834084,-3.4473741035581165e-18,0.003545667939639635,0.00031013481246652434,0.0004918738479669048,-3.3680708308412436e-17,-3.0577337407561167e-18,0.02419075785995942,0.0031320457067111267,0.0015965701357695881,-6.646527349948327e-17,0.013810539851666956,-2.172815622817003e-18,-1.6147823809567607e-17,-2.2049156833638947e-17,0.0031999181793946115,0.00033958401873058694,-4.522137289361743e-18,-2.0994733019792367e-18,0.8315218406202999,0.40567889528505297
4,4,52.0,-1.5795185344569676e-18,0.004574969241484445,0.001085604341510692,0.0005568915740656644,0.00034081497617081534,0.0003550771162010153,7.657115587418798e-19,2.4842184117191266e-18,-5.10586299627334e-18,0.0009632044837553065,0.0011270247865599464,-6.196287216090126e-18,0.002414493133204733,0.0005630658217168537,0.0002620176218615176,-1.0811297819413116e-17,0.0014938298742174293,0.0009418228032807537,0.0019520311995451347,2.941226677878739e-05,-0.9071147352221454,0.3643461266335529
5,5,52.1,0.0009042113417359512,9.052292116430766e-20,-0.0,0.002991900123763129,0.00013212102612029857,-1.0934697816810267e-19,0.03364280508814322,-2.014620424448253e-17,0.000794439690899022,-7.867167934329864e-19,0.0003943838344726607,0.0007866468897182872,-0.0,-1.0534009907271495e-17,0.0017857882470442656,0.0007425579299206478,-3.751698195321948e-18,0.0016537339392587865,0.0009790192071051523,0.0007202798122233025,-0.41576092031014994,0.6775849579524755
6,6,52.40000000000001,0.0005536386408183559,0.004733803250018383,1.1505232353655255e-18,0.0012612691415005422,-1.1421843766089998e-19,-5.1793333983902924e-20,-1.3496986946026864e-17,-1.8422213753605917e-18,-2.9269669630031487e-18,0.003789739944762642,-3.314076170857045e-19,0.0007010501023564606,0.007164889121911564,0.002718148760923268,0.0014732292353902188,0.0005638838432334303,0.0006550219896605281,0.0013244808797248698,0.0011956711634056405,-9.842418393921495e-19,-1.360672102833218,0.17361733442494354
7,7,52.6,0.000703439764139533,-9.077462009706948e-19,0.0019545051680318285,0.0012103631767427356,0.0005194377480424657,0.00046340458712006974,0.019950734766238556,0.007892167490746546,-1.515731056181804e-18,0.0014731917726948554,0.0004686012729787196,0.0011439715377010804,0.0037795467292445696,0.002076565744349034,0.0013245396182995429,-3.4436315731162428e-18,0.0010291449910405724,-2.238957906878452e-17,0.0011936909841360145,-1.0032762808586891e-18,0.5291502622129182,0.5967012167293563
8,8,53.3,7.595180654375772e-05,0.0010224071759911855,0.0008968295248986436,0.0021964462336720204,0.00018186486833669964,0.0005029964477682019,-1.817251275853017e-17,-0.0,-7.181718561722286e-18,0.0009268332368043533,0.001192527162767802,0.0017313444369313725,0.0036965252541637955,-1.5544805732469473e-17,0.000549532865474975,-2.2547837860894844e-17,0.0008640837549205024,-0.0,0.001959330082259526,-3.885516399226192e-19,-0.37796447300922725,0.7054569861112734
9,9,53.6,0.003493613797920726,0.004355668721281265,0.008698107202125464,0.0014836584185216775,0.0007873438292044383,0.0005111326657626454,0.01856291837409504,-0.0,0.011404716445013304,5.271695898402121e-05,-4.090454488895289e-18,-1.94099310466246e-17,-2.1240954846226202e-17,-1.8407894687081243e-18,-3.94017680661594e-17,-1.6139221008400113e-17,0.0005238292400711323,-0.0,-2.945832366712162e-18,0.0019022744330433716,2.872529994870127,0.004071994217732759
