,m/z,gfap_positive,gfap_negative
0,50.7,-7.27413624853107e-17,0.0005114689178242523
1,51.0,9.954520712859189e-05,0.0005536641390153008
2,51.300000000000004,0.0031080243868836523,-2.8472984159039315e-15
3,51.6,0.001992299605442132,0.0002466947943092682
4,52.0,0.0012511157027055508,0.00020497722841903763
5,52.1,-6.374361432423408e-17,0.0006148792278117612
6,52.400000000000006,-3.565499303859328e-18,0.0005594866486852379
7,52.6,0.002955091185627871,5.489810404133126e-06
8,53.300000000000004,0.0018184602999074164,2.433876198433703e-05
9,53.6,0.0025324616541478806,-2.1526110666714238e-15
10,54.0,0.0003304193727024607,0.0006349124314698815
11,54.7,-1.3067340431973622e-16,0.0006192463067798259
12,58.0,0.001875280067139275,0.00025234757718962746
13,58.300000000000004,-4.184843142197236e-17,0.0005644282506046555
14,58.5,-1.2956418485234283e-16,0.000715043093356194
15,59.0,0.009741052885989601,0.010820965720776232
16,59.300000000000004,0.002698739420438284,0.0002238479305646403
17,60.2,-3.1662425554970137e-17,0.0004495679209189028
18,61.6,0.0004573498953069701,0.00043108196464459775
19,62.0,0.17782990029795828,0.08519717328432257
20,62.300000000000004,0.00023950592378670446,0.0004678372055255898
21,62.6,0.0022533933240979683,5.6102170070280625e-05
22,63.5,0.0011480590570481267,0.0004146505676794315
23,63.6,4.735514581865664e-05,0.0005242297012642847
24,63.7,0.0008837439971220037,0.0005157873413551073
25,64.0,0.0005789798036578801,0.0005849468432665837
26,64.7,-5.4279570771668614e-17,0.0006152276462879396
27,65.0,-2.6735173194723176e-17,0.0006998880578365213
28,65.10000000000001,0.003381725705138977,2.1327837693053847e-05
29,65.7,0.0004569129357324771,0.000466272119605894
30,66.10000000000001,-4.701463545968528e-18,0.0005037939655065939
31,66.2,0.006287035514878877,0.0064553753946999665
32,66.4,-4.937575252442261e-17,0.0006287521011943479
33,67.10000000000001,-5.351887559067418e-17,0.0005930645682799186
34,67.60000000000001,-1.6900264791924573e-16,0.0005696450615965993
35,67.9,0.00029400221028221804,0.0008824455688219515
36,68.0,0.001073053317039596,0.0003673138110964356
37,68.3,0.0009252090873099114,0.00029105471098378433
38,68.5,0.0013847745523794758,0.0011631732367602138
39,68.60000000000001,0.0022554174283314823,0.0003337473270321584
40,69.0,-1.042043685459556e-16,0.0023639223955818
41,69.7,0.001430725200548919,0.004246582668559252
42,70.4,0.001639483243795428,7.323914680521402e-05
43,71.3,0.0004116072741973824,0.00019938370183844297
44,71.60000000000001,0.000909663002636232,0.00028254902729711617
45,72.0,0.001181254649554498,0.00014162024504902612
46,72.4,-1.57968347037751e-16,0.0006028215331222602
47,72.8,5.4534883136006764e-05,0.00046647366757110133
48,72.9,0.00015738695937049784,0.0005311967157659449
49,73.5,4.47792515874148e-05,0.00030821996470113856
50,73.9,-1.1007104534959359e-16,0.0005188654504272974
