,m/z,gfap_positive_Y1,gfap_positive_Y2,gfap_positive_Y3,gfap_positive_Y4,gfap_positive_Y5,gfap_positive_Y6,gfap_positive_Y7,gfap_positive_Y8,gfap_positive_Y9,gfap_positive_Y10,gfap_negative_Y1,gfap_negative_Y2,gfap_negative_Y3,gfap_negative_Y4,gfap_negative_Y5,gfap_negative_Y6,gfap_negative_Y7,gfap_negative_Y8,gfap_negative_Y9,gfap_negative_Y10
1522,606.2,0.0010434552135384194,-0.0,-0.0,-0.0,-0.0,0.000278386156784119,-0.0,-0.0,-0.0,-8.664015670155562e-19,-1.1171919601719436e-18,-0.0,-0.0,-0.0,-0.0,-7.779138235338287e-18,-0.0,-0.0,-0.0,0.0007933360346195013
1523,616.9000000000001,0.001068627926299431,-0.0,-0.0,-0.0,-0.0,-2.5994547311919116e-19,-0.0,-0.0,-0.0,-0.0,-1.1441688689461343e-18,-0.0,-0.0,-0.0,-0.0,0.00037597789103363863,-0.0,-0.0,-0.0,-0.0
1524,620.1,0.0010828198137391371,-0.0,-0.0,-0.0,-0.0,-0.0,-2.3406483588352132e-17,-0.0,-0.0,-0.0,-1.1593203347913353e-18,-0.0,-0.0,-0.0,-0.0,-0.0,0.0011128614561355574,-0.0,-0.0,-0.0
1525,629.1,0.0011235636153896136,-0.0,-0.0,-0.0,-0.0,0.0005179266464814576,-0.0,-0.0,-0.0,-0.0,-1.202938477932327e-18,-0.0,-0.0,-0.0,-0.0,-2.3217138414786354e-17,-0.0,-0.0,-0.0,-0.0
1526,659.1,0.0027828046218201976,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.869474253680012e-18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1527,696.9000000000001,0.0011283796693448284,-3.1717504020966627e-18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.2082391493295933e-18,0.0022590400164443965,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1528,707.7,0.0012127459437062495,-0.0,0.003395424315000944,0.0015117076822400103,0.0015946129227766758,0.002216241304682791,-1.0849365212130355e-17,-0.0,-1.3192718269962678e-18,0.0016154242914201476,-1.29847050952679e-18,-0.0,0.01833215659894734,0.001111304247447044,-2.5708521393157255e-17,-5.1981790713807625e-17,0.0012938513611126237,-0.0,0.0008431297181590399,-1.4094164030942562e-18
1529,721.6,0.0010899436172822614,-0.0,2.5541671848123477e-19,-0.0,-0.0,-0.0,-0.0,-0.0,-1.2608422814284673e-18,-0.0,-1.1669295741641126e-18,-0.0,0.004543874321489917,-0.0,-0.0,-0.0,-0.0,-0.0,0.0008059128454698834,-0.0
1530,943.3000000000001,0.0014683019456860021,-2.7651351403809465e-18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5720764619450965e-18,0.0015591602675461144,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1531,52.5,0.0015167640920012717,0.00469882378593816,0.009319290953407734,-1.5305974345503591e-18,0.00048427420010199387,0.0004235929882732364,-2.1136936379883732e-17,-3.2322123326842245e-18,-2.0854975597750182e-18,0.0007426934963037716,-2.3797454937758835e-18,-2.0258802186535516e-16,-2.309382974120325e-17,0.0048682349865477965,-2.8260936068948435e-18,-1.5199877990717392e-18,0.0020804845182470274,0.000664327453507809,0.0012743787385111395,0.0002716062231492909
1532,54.5,0.00244488130293755,0.005918559905909267,-7.869682008265201e-18,-2.0508997859049223e-19,0.0002021333495611906,0.0003596351738744286,0.015035834783314486,-1.4832809035922713e-18,0.00750614314789868,0.0012646810699034894,-3.2292204921620584e-18,-2.293891724413325e-16,0.005603569704876481,0.0014179358194997425,-5.880570964726911e-18,0.00041201505527606016,-1.10929866544761e-18,0.001421695087737649,0.001309539927132674,3.861811032384656e-05
1533,65.60000000000001,0.0015338646659892837,0.006056595195487208,0.006656469088799485,0.0018162558904869135,-1.0147884369352441e-18,-3.045218253768293e-19,-2.1334462049622306e-18,-0.0,0.006933146171187321,0.0016277040820945365,-2.4066403477439006e-18,3.956211800966029e-05,-3.3353594844329605e-17,0.002122124723687713,0.002856973501944728,0.00033131756982515584,0.0035695276758814687,-0.0,0.0008727360207595273,-1.10865265661343e-18
1534,67.3,0.0018546647064328914,0.006748592556393486,0.0005516481235510903,0.002625477625099986,9.845449443071359e-05,-1.830584086354773e-19,0.03824315065009169,-1.5487667755850787e-17,0.009681506400537242,-0.0,-2.9098809974000245e-18,-1.4049180079617893e-17,0.0017368502408524607,-6.662846145233431e-18,0.0008748002300967699,0.0007033210336844055,-4.362417613883564e-18,0.001067099034009065,0.0005845895547718424,-0.0
1535,72.7,0.002674814859481941,0.0025301794796454783,-0.0,0.002821294087290466,-3.5879575210897107e-19,-2.675326508752658e-20,-7.308915268295611e-17,-7.692582236584639e-19,-4.442511438635607e-18,-0.0,-3.576102227901739e-18,-8.118548492180598e-17,-0.0,-1.4208922106594808e-17,0.0011557309932824127,0.0006034108613654759,0.002424031097333863,0.0004674944160367682,0.001421624815555478,-0.0
1536,74.8,0.0016859576317014183,-0.0,-9.637289363495404e-20,0.0030735406582206,-3.50999559325938e-21,0.0003472828694125812,-0.0,-1.0273196540004745e-17,0.012367915663573195,-0.0,-2.645126701935418e-18,-0.0,0.0020894580790220833,-1.423630499668826e-17,0.0006322968064815571,-1.0574087911098121e-17,-0.0,0.0017833743894271178,0.0007398551600778126,-0.0
1537,74.9,0.0015109632992440986,0.005420770417783344,2.292623488975334e-19,0.0007363705338754625,0.0006063401933293962,-0.0,-1.664478159349767e-17,-8.372958461940937e-18,0.009344374037596357,-0.0,-2.3706571400164754e-18,-1.302567544638534e-16,0.004078045437792277,-1.8946739941135846e-18,0.00046767595021912194,-0.0,0.0008079280964339293,0.002110952074562993,-4.991425407413357e-18,-0.0
1538,76.3,0.001663179711043315,-0.0,0.003105556791460918,7.68447750393086e-20,0.0005282247117080377,0.0003731516405807638,-4.954740373978425e-18,-0.0,-7.867601786896251e-18,0.0032966844591307935,-2.6095932735510473e-18,-0.0,-6.785475987245734e-18,0.0015977352705014234,-3.1113761282758604e-17,-1.1361605139934457e-17,0.0005909716622875346,-0.0,0.002145271801155183,-1.2947202294213051e-18
